time,rain(mm),moisture(%)
2014/1/1 00:00,0,12.67
2014/1/1 00:10,0,12.67
2014/1/1 00:20,0,12.67
2014/1/1 00:30,0,12.67
2014/1/1 00:40,0,12.67
2014/1/1 00:50,0,12.67
2014/1/1 01:00,0,12.67
2014/1/1 01:10,0,12.66
2014/1/1 01:20,0,12.66
2014/1/1 01:30,0,12.66
2014/1/1 01:40,0,12.66
2014/1/1 01:50,0,12.66
2014/1/1 02:00,0,12.66
2014/1/1 02:10,0,12.66
2014/1/1 02:20,0,12.65
2014/1/1 02:30,0,12.65
2014/1/1 02:40,0,12.65
2014/1/1 02:50,0,12.65
2014/1/1 03:00,0,12.65
2014/1/1 03:10,0,12.65
2014/1/1 03:20,0,12.65
2014/1/1 03:30,0,12.64
2014/1/1 03:40,0,12.64
2014/1/1 03:50,0,12.64
2014/1/1 04:00,0,12.64
2014/1/1 04:10,0,12.64
2014/1/1 04:20,0,12.64
2014/1/1 04:30,0,12.63
2014/1/1 04:40,0,12.63
2014/1/1 04:50,0,12.63
2014/1/1 05:00,0,12.63
2014/1/1 05:10,0,12.63
2014/1/1 05:20,0,12.63
2014/1/1 05:30,0,12.63
2014/1/1 05:40,0,12.62
2014/1/1 05:50,0,12.62
2014/1/1 06:00,0,12.62
2014/1/1 06:10,0,12.62
2014/1/1 06:20,0,12.62
2014/1/1 06:30,0,12.62
2014/1/1 06:40,0,12.62
2014/1/1 06:50,0,12.62
2014/1/1 07:00,0,12.61
2014/1/1 07:10,0,12.61
2014/1/1 07:20,0,12.61
2014/1/1 07:30,0,12.61
2014/1/1 07:40,0,12.61
2014/1/1 07:50,0,12.61
2014/1/1 08:00,0,12.61
2014/1/1 08:10,0,12.61
2014/1/1 08:20,0,12.6
2014/1/1 08:30,0,12.6
2014/1/1 08:40,0,12.6
2014/1/1 08:50,0,12.6
2014/1/1 09:00,0,12.6
2014/1/1 09:10,0,12.6
2014/1/1 09:20,0,12.6
2014/1/1 09:30,0,12.59
2014/1/1 09:40,0,12.59
2014/1/1 09:50,0,12.59
2014/1/1 10:00,0,12.59
2014/1/1 10:10,0,12.59
2014/1/1 10:20,0,12.59
2014/1/1 10:30,0,12.59
2014/1/1 10:40,0,12.59
2014/1/1 10:50,0,12.58
2014/1/1 11:00,0,12.58
2014/1/1 11:10,0,12.58
2014/1/1 11:20,0,12.58
2014/1/1 11:30,0,12.58
2014/1/1 11:40,0,12.57
2014/1/1 11:50,0,12.57
2014/1/1 12:00,0,12.57
2014/1/1 12:10,0,12.57
2014/1/1 12:20,0,12.57
2014/1/1 12:30,0,12.57
2014/1/1 12:40,0,12.57
2014/1/1 12:50,0,12.56
2014/1/1 13:00,0,12.56
2014/1/1 13:10,0,12.56
2014/1/1 13:20,0,12.56
2014/1/1 13:30,0,12.56
2014/1/1 13:40,0,12.56
2014/1/1 13:50,0,12.55
2014/1/1 14:00,0,12.55
2014/1/1 14:10,0,12.55
2014/1/1 14:20,0,12.55
2014/1/1 14:30,0,12.55
2014/1/1 14:40,0,12.54
2014/1/1 14:50,0,12.54
2014/1/1 15:00,0,12.54
2014/1/1 15:10,0,12.54
2014/1/1 15:20,0,12.54
2014/1/1 15:30,0,12.54
2014/1/1 15:40,0,12.54
2014/1/1 15:50,0,12.54
2014/1/1 16:00,0,12.53
2014/1/1 16:10,0,12.53
2014/1/1 16:20,0,12.53
2014/1/1 16:30,0,12.53
2014/1/1 16:40,0,12.53
2014/1/1 16:50,0,12.53
2014/1/1 17:00,0,12.53
2014/1/1 17:10,0,12.53
2014/1/1 17:20,0,12.52
2014/1/1 17:30,0,12.52
2014/1/1 17:40,0,12.52
2014/1/1 17:50,0,12.52
2014/1/1 18:00,0,12.52
2014/1/1 18:10,0,12.52
2014/1/1 18:20,0,12.52
2014/1/1 18:30,0,12.52
2014/1/1 18:40,0,12.52
2014/1/1 18:50,0,12.51
2014/1/1 19:00,0,12.51
2014/1/1 19:10,0,12.51
2014/1/1 19:20,0,12.51
2014/1/1 19:30,0,12.51
2014/1/1 19:40,0,12.51
2014/1/1 19:50,0,12.51
2014/1/1 20:00,0,12.51
2014/1/1 20:10,0,12.51
2014/1/1 20:20,0,12.5
2014/1/1 20:30,0,12.5
2014/1/1 20:40,0,12.5
2014/1/1 20:50,0,12.5
2014/1/1 21:00,0,12.5
2014/1/1 21:10,0,12.5
2014/1/1 21:20,0,12.5
2014/1/1 21:30,0,12.5
2014/1/1 21:40,0,12.5
2014/1/1 21:50,0,12.5
2014/1/1 22:00,0,12.5
2014/1/1 22:10,0,12.49
2014/1/1 22:20,0,12.49
2014/1/1 22:30,0,12.49
2014/1/1 22:40,0,12.49
2014/1/1 22:50,0,12.49
2014/1/1 23:00,0,12.49
2014/1/1 23:10,0,12.49
2014/1/1 23:20,0,12.49
2014/1/1 23:30,0,12.49
2014/1/1 23:40,0,12.49
2014/1/1 23:50,0,12.48
2014/1/2 00:00,0,12.48
2014/1/2 00:10,0,12.48
2014/1/2 00:20,0,12.48
2014/1/2 00:30,0,12.48
2014/1/2 00:40,0,12.48
2014/1/2 00:50,0,12.48
2014/1/2 01:00,0,12.48
2014/1/2 01:10,0,12.48
2014/1/2 01:20,0,12.47
2014/1/2 01:30,0,12.47
2014/1/2 01:40,0,12.47
2014/1/2 01:50,0,12.47
2014/1/2 02:00,0,12.47
2014/1/2 02:10,0,12.47
2014/1/2 02:20,0,12.47
2014/1/2 02:30,0,12.47
2014/1/2 02:40,0,12.47
2014/1/2 02:50,0,12.47
2014/1/2 03:00,0,12.47
2014/1/2 03:10,0,12.47
2014/1/2 03:20,0,12.47
2014/1/2 03:30,0,12.47
2014/1/2 03:40,0,12.46
2014/1/2 03:50,0,12.46
2014/1/2 04:00,0,12.46
2014/1/2 04:10,0,12.46
2014/1/2 04:20,0,12.46
2014/1/2 04:30,0,12.46
2014/1/2 04:40,0,12.46
2014/1/2 04:50,0,12.46
2014/1/2 05:00,0,12.46
2014/1/2 05:10,0,12.46
2014/1/2 05:20,0,12.46
2014/1/2 05:30,0,12.45
2014/1/2 05:40,0,12.45
2014/1/2 05:50,0,12.45
2014/1/2 06:00,0,12.45
2014/1/2 06:10,0,12.45
2014/1/2 06:20,0,12.45
2014/1/2 06:30,0,12.45
2014/1/2 06:40,0,12.45
2014/1/2 06:50,0,12.45
2014/1/2 07:00,0,12.44
2014/1/2 07:10,0,12.44
2014/1/2 07:20,0,12.44
2014/1/2 07:30,0,12.44
2014/1/2 07:40,0,12.44
2014/1/2 07:50,0,12.44
2014/1/2 08:00,0,12.44
2014/1/2 08:10,0,12.44
2014/1/2 08:20,0,12.43
2014/1/2 08:30,0,12.43
2014/1/2 08:40,0,12.43
2014/1/2 08:50,0,12.43
2014/1/2 09:00,0,12.43
2014/1/2 09:10,0,12.43
2014/1/2 09:20,0,12.42
2014/1/2 09:30,0,12.42
2014/1/2 09:40,0,12.42
2014/1/2 09:50,0,12.42
2014/1/2 10:00,0,12.42
2014/1/2 10:10,0,12.42
2014/1/2 10:20,0,12.41
2014/1/2 10:30,0,12.41
2014/1/2 10:40,0,12.41
2014/1/2 10:50,0,12.41
2014/1/2 11:00,0,12.4
2014/1/2 11:10,0,12.4
2014/1/2 11:20,0,12.4
2014/1/2 11:30,0,12.4
2014/1/2 11:40,0,12.39
2014/1/2 11:50,0,12.39
2014/1/2 12:00,0,12.39
2014/1/2 12:10,0,12.39
2014/1/2 12:20,0,12.39
2014/1/2 12:30,0,12.38
2014/1/2 12:40,0,12.38
2014/1/2 12:50,0,12.38
2014/1/2 13:00,0,12.38
2014/1/2 13:10,0,12.38
2014/1/2 13:20,0,12.38
2014/1/2 13:30,0,12.37
2014/1/2 13:40,0,12.37
2014/1/2 13:50,0,12.37
2014/1/2 14:00,0,12.37
2014/1/2 14:10,0,12.37
2014/1/2 14:20,0,12.36
